"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/headToHeadView/h2HBasicStats/h2HWinPctCIrcleBar/h2HWinPctCircleBarAway.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/headToHeadView/h2HBasicStats/h2HWinPctCIrcleBar/h2HWinPctCircleBarHome.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/headToHeadView/h2HLiItems/h2HFixturesList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 13, 10, 87
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/headToHeadView/headToHeadView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/footballField/footballFIeldVertical.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/footballField/footballFieldHorizontal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/lineUps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 29, 161
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/startinXIVertical/startingXIVertical.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 2, 11, 150
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/startingXIHorizontal/startingXIHorizontal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 9, 141
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/startingXINoFormation/startingXINoFormation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/lineUps/substitutes/substitutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/matchStatistics/matchStatistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 2, 18, 109
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/timeLine/timeLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 1, 19, 141
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/components/timeLine/timeLineHeader/timeLineHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/constants/constants.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 4, 11, 52
